feature	gene_set
GON7	WHITFIELD_CELL_CYCLE_G1S
HCG18	WHITFIELD_CELL_CYCLE_G1S
HORMAD1	WHITFIELD_CELL_CYCLE_G1S
HOXB4	WHITFIELD_CELL_CYCLE_G1S
HRAS	WHITFIELD_CELL_CYCLE_G1S
HSF2	WHITFIELD_CELL_CYCLE_G1S
HSPB8	WHITFIELD_CELL_CYCLE_G1S
INAFM2	WHITFIELD_CELL_CYCLE_G1S
INTS8	WHITFIELD_CELL_CYCLE_G1S
IVNS1ABP	WHITFIELD_CELL_CYCLE_G1S
KANK2	WHITFIELD_CELL_CYCLE_G1S
KCNC4	WHITFIELD_CELL_CYCLE_G1S
KIAA1586	WHITFIELD_CELL_CYCLE_G1S
LNPEP	WHITFIELD_CELL_CYCLE_G1S
MAP2K6	WHITFIELD_CELL_CYCLE_G1S
MBOAT1	WHITFIELD_CELL_CYCLE_G1S
MCM2	WHITFIELD_CELL_CYCLE_G1S
MCM4	WHITFIELD_CELL_CYCLE_G1S
MCM5	WHITFIELD_CELL_CYCLE_G1S
MCM6	WHITFIELD_CELL_CYCLE_G1S
MDM1	WHITFIELD_CELL_CYCLE_G1S
MED31	WHITFIELD_CELL_CYCLE_G1S
MNT	WHITFIELD_CELL_CYCLE_G1S
MNX1	WHITFIELD_CELL_CYCLE_G1S
MRI1	WHITFIELD_CELL_CYCLE_G1S
MSH2	WHITFIELD_CELL_CYCLE_G1S
NASP	WHITFIELD_CELL_CYCLE_G1S
NEAT1	WHITFIELD_CELL_CYCLE_G1S
NKTR	WHITFIELD_CELL_CYCLE_G1S
NPAT	WHITFIELD_CELL_CYCLE_G1S
NSUN5P2	WHITFIELD_CELL_CYCLE_G1S
NUP43	WHITFIELD_CELL_CYCLE_G1S
ORC1	WHITFIELD_CELL_CYCLE_G1S
ORMDL1	WHITFIELD_CELL_CYCLE_G1S
OSBPL6	WHITFIELD_CELL_CYCLE_G1S
OTULIN	WHITFIELD_CELL_CYCLE_G1S
PABIR1	WHITFIELD_CELL_CYCLE_G1S
PANK2	WHITFIELD_CELL_CYCLE_G1S
PASK	WHITFIELD_CELL_CYCLE_G1S
PCNA	WHITFIELD_CELL_CYCLE_G1S
PCNAP1	WHITFIELD_CELL_CYCLE_G1S
PDXP	WHITFIELD_CELL_CYCLE_G1S
PLCXD1	WHITFIELD_CELL_CYCLE_G1S
PNN	WHITFIELD_CELL_CYCLE_G1S
POLD3	WHITFIELD_CELL_CYCLE_G1S
RAB23	WHITFIELD_CELL_CYCLE_G1S
RECQL4	WHITFIELD_CELL_CYCLE_G1S
RMI2	WHITFIELD_CELL_CYCLE_G1S
RNF113A	WHITFIELD_CELL_CYCLE_G1S
RNPC3	WHITFIELD_CELL_CYCLE_G1S
RSRP1	WHITFIELD_CELL_CYCLE_G1S
RUNX1	WHITFIELD_CELL_CYCLE_G1S
SDC1	WHITFIELD_CELL_CYCLE_G1S
SEC62	WHITFIELD_CELL_CYCLE_G1S
SERPINB3	WHITFIELD_CELL_CYCLE_G1S
SKP2	WHITFIELD_CELL_CYCLE_G1S
SLBP	WHITFIELD_CELL_CYCLE_G1S
SLC25A36	WHITFIELD_CELL_CYCLE_G1S
SPIN3	WHITFIELD_CELL_CYCLE_G1S
SPIN4	WHITFIELD_CELL_CYCLE_G1S
SRSF7	WHITFIELD_CELL_CYCLE_G1S
SSR3	WHITFIELD_CELL_CYCLE_G1S
TAF15	WHITFIELD_CELL_CYCLE_G1S
TCAF1	WHITFIELD_CELL_CYCLE_G1S
TIPIN	WHITFIELD_CELL_CYCLE_G1S
TMEM243	WHITFIELD_CELL_CYCLE_G1S
TONSL-AS1	WHITFIELD_CELL_CYCLE_G1S
TOPBP1	WHITFIELD_CELL_CYCLE_G1S
TRA2A	WHITFIELD_CELL_CYCLE_G1S
TREX1	WHITFIELD_CELL_CYCLE_G1S
TRIM45	WHITFIELD_CELL_CYCLE_G1S
TRMT2A	WHITFIELD_CELL_CYCLE_G1S
TSPEAR-AS1	WHITFIELD_CELL_CYCLE_G1S
TTC14	WHITFIELD_CELL_CYCLE_G1S
UBR7	WHITFIELD_CELL_CYCLE_G1S
UHRF1	WHITFIELD_CELL_CYCLE_G1S
UNG	WHITFIELD_CELL_CYCLE_G1S
USP53	WHITFIELD_CELL_CYCLE_G1S
VPS72	WHITFIELD_CELL_CYCLE_G1S
WDR76	WHITFIELD_CELL_CYCLE_G1S
ZMYND19	WHITFIELD_CELL_CYCLE_G1S
ZNF367	WHITFIELD_CELL_CYCLE_G1S
ZNF414	WHITFIELD_CELL_CYCLE_G1S
